judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge__cj__court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
John B Gallagher,Supreme Court Justice,,2018-01-01,2031-12-31,Monroe County,Monroe County Supreme Court,2018,,,,,,7/SJ/MATRIMONIAL
Bianka Perez,Supreme Court Justice,"SUP CT JUS, DST 12 AT",2021-01-01,2034-12-31,Bronx County,Bronx County Sup Ct Civil Term,2021,,,,,,
Francis Ricigliano,Supreme Court Justice,,2023-01-01,2036-12-31,Nassau County,Nassau County Supreme Court,2023,,,,,,
Devin P Cohen,Supreme Court Justice,,2019-01-01,2032-12-31,Kings County,Kings County Supreme Court,2019,,,,,,
Lisa Cairo,Supreme Court Justice,,2023-01-01,2036-12-31,Nassau County,Nassau County Supreme Court,2023,,,,,,
Valerie M Cartright,Supreme Court Justice,,2021-01-01,2034-12-31,Suffolk County,Suffolk County Supreme Court,2021,,,,,,
Martin D Auffredou,Supreme Court Justice,,2016-01-01,2029-12-31,Warren County,Warren County Supreme Ct(M-B),2016,,,,,,
Linda K Mejias,Court of Claims Judge,,2021-06-08,2030-03-22,New York County,Court of Claims,2021,,,,,,
Henry J Nowak,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2025-01-01,2038-12-31,Erie County,Erie County Supreme Court,2011,,,,,,
Michael C Lynch,,"ASC JUS, AP DIV, TPCT",2020-01-01,2023-12-31,Albany County,Appellate Div 3rd Dept/Chamber,2006,,,"ASC JUS, AP DIV, TPCT",2024-01-01,2029-12-31,
Peter A Lynch,,,2019-01-01,2023-12-31,Albany County,Albany County Supreme Court,2019,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Deborah A Dowling,,"ASC JUS, AP DIV, TPCT",,,Kings County,Appellate Div 2nd Dept/Chamber,1997,,,"ASC JUS, AP DIV, TPCT",2023-01-01,2028-12-31,
Deborah H Karalunas,Supreme Court Justice,ADMNV JGE,2017-01-01,2026-12-31,Onondaga County,Onondaga County Supreme Court,2003,,,,,,AJ/05/SUP
James P Mcclusky,Supreme Court Justice,,2012-01-01,2025-12-31,Jefferson County,Jefferson County Supreme Court,2012,,,,,,5/SJ/TOWN&VILLAGE
Marsha D Michael,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,New York County,Bronx County Supreme Court,2019,,,,,,
Laura M Jordan,Supreme Court Justice,,2022-01-01,2035-12-31,Rensselaer County,Rensselaer County Supreme Ct,2022,,,,,,
Inga M Oneale,Supreme Court Justice,,2025-01-01,2038-12-31,Kings County,Kings County Supreme Court,2025,,,,,,
Francois A Rivera,,,2011-01-01,2024-12-31,Kings County,Kings County Supreme Court,1997,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
E Jeannette Ogden,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2015-01-01,2026-12-31,Erie County,Appellate Div 4th Dept/Chamber,2015,,,,,,
Katherine A Levine,,,2017-01-01,2024-12-31,Kings County,Kings County Supreme Court,2017,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Linda S Jamieson,,,2017-01-01,2024-12-31,Westchester County,Westchester County Supreme Ct,2003,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Richard I Horowitz,Court of Claims Judge,SUP CT JUSTICE,2015-06-17,2022-12-31,Suffolk County,Suffolk County Supreme Court,2015,,,,,,
Joseph E Capella,Supreme Court Justice,ADMNV JGE,2018-01-01,2031-12-31,Bronx County,Bronx County Sup Ct Civil Term,2018,,,,,,AJ/BX/SUP/CV
Lara J Genovesi,Supreme Court Justice,"ASC JUS, AP DIV",2015-01-01,2028-12-31,Kings County,Appellate Div 2nd Dept/Chamber,2015,,,,,,
Scott A Dunn,Supreme Court Justice,,2024-01-01,2030-12-31,Queens County,Queens County Supreme Court,2024,,,,,,
James L Hyer,Supreme Court Justice,,2022-01-01,2035-12-31,Dutchess County,Dutchess County Supreme Court,2022,,,,,,
William G Ford,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2016-01-01,2026-12-31,Suffolk County,Appellate Div 2nd Dept/Chamber,2016,,,,,,
Richard Rivera,Supreme Court Justice,,2024-01-01,2035-12-31,Albany County,Albany County Supreme Court,2024,,,,,,
Ann Thompson,Supreme Court Justice,,2023-01-01,2036-12-31,New York County,Richmond Cnty Supreme Ct-Civil,2023,,,,,,
Alexender B Jeong,Court of Claims Judge,SUP CT JUSTICE,2015-05-05,2022-12-31,Richmond County,Richmond Cnty Supreme Ct-Crim,2015,,,,,,
Karen Gopee,Supreme Court Justice,,2022-01-01,2035-12-31,Queens County,Queens County Supreme Court,2022,,,,,,
Diane Y Devlin,Supreme Court Justice,,2020-01-01,2025-12-31,Erie County,Erie County Supreme Court,2006,,,,,,
Timothy P Mazzei,,,2021-01-01,2024-12-31,Suffolk County,Suffolk County Supreme Court,2021,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Dianne T Renwick,Supreme Court Justice,"PRES JUS, AP DIV",2016-01-01,2029-12-31,New York County,Appellate Division - 1st Dept,2002,,,,,,
Mary Ann Brigantti,Supreme Court Justice,"SUP CT JUS, DST 12 AT",2019-01-01,2029-12-31,Bronx County,Bronx County Sup Ct Civil Term,2005,,,,,,
Manuel Mendez,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2013-01-01,2026-12-31,New York County,Appellate Division - 1st Dept,2013,,,,,,
Richard J Jr Mcnally,Supreme Court Justice,,2014-01-01,2027-12-31,Rensselaer County,Rensselaer County Supreme Ct,2014,,,,,,
Betty Calvo-Torres,Court of Claims Judge,SUP CT JUSTICE,2022-06-02,2027-08-26,Erie County,Erie County Supreme Court,2022,,,,,,8/SJ/TOWN&VILLAGE
Oliver N Blaise Iii,Supreme Court Justice,,2020-01-01,2033-12-31,Broome County,Broome County Supreme Court,2020,,,,,,
Deanna Panico,Supreme Court Justice,,2025-01-01,2038-12-31,Suffolk County,Suffolk County Supreme Court,2025,,,,,,
Meagan Galligan,Supreme Court Justice,,2023-01-01,2036-12-31,Sullivan County,Sullivan County Supr Ct(M-B),2023,,,,,,
Jerome C Murphy,,,2012-01-01,2023-12-31,Nassau County,Nassau County Supreme Court,2012,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Paul I Marx,Supreme Court Justice,,2012-01-01,2025-12-31,Rockland County,Rockland County Supreme Court,2012,,,,,,
Seth Madnick Marnin,Court of Claims Judge,,2023-08-14,2029-12-31,New York County,Court of Claims,2023,,,,,,
Brian D Burns,Supreme Court Justice,,2021-01-01,2033-12-31,Otsego County,Otsego County Supreme Ct (M-B),2021,,,,,,
Vito M Destefano,Supreme Court Justice,ADMNV JGE,2022-01-01,2035-12-31,Nassau County,Nassau County Supreme Court,2008,,,,,,AJ/NA/SUP
Timothy J Dufficy,,,,,Queens County,Queens County Supreme Court,2012,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Debra L Givens,Court of Claims Judge,SUP CT JUSTICE,2024-04-01,2026-12-31,Erie County,Erie County Supreme Court,2021,,,,,,
Nancy E Smith,,"ASC JUS, AP DIV, TPCT",,,Monroe County,Appellate Div 4th Dept/Chamber,1997,,,"ASC JUS, AP DIV, TPCT",2025-01-01,2030-12-31,
Linda J Kevins,Supreme Court Justice,,2018-01-01,2025-12-31,Suffolk County,Suffolk County Supreme Court,2018,,,,,,
Theresa M Ciccotto,Supreme Court Justice,,2021-01-01,2030-12-31,Kings County,Bronx County Sup Ct Civil Term,2021,,,,,,
Paul B Wojtaszek,Supreme Court Justice,,2015-01-01,2028-12-31,Erie County,Erie County Supreme Court,2015,,,,,,
Marissa Soto,Supreme Court Justice,,2022-01-01,2035-12-31,Bronx County,Bronx County Sup Ct Civil Term,2022,,,,,,
Michael A Frishman,Supreme Court Justice,,2024-01-01,2037-12-31,Bronx County,Bronx County Supreme Court,2024,,,,,,
Elena Goldberg-Velazquez,Supreme Court Justice,"SUP CT JUS, DST 9 AT",2023-01-01,2036-12-31,Westchester County,Orange County Supreme Court,2023,,,,,,
Robert J Miller,,,,,Kings County,Appellate Div 2nd Dept/Chamber,2008,,,"ASC JUS, AP DIV, TPCT",2020-01-01,2025-12-31,
John D Sampson,Court of Claims Judge,,2015-05-05,2021-12-31,Erie County,Court of Claims,2015,,,,,,
David T Reilly,Supreme Court Justice,,2014-01-01,2027-12-31,Suffolk County,Suffolk County Supreme Court,2014,,,,,,
Dena E Douglas,Supreme Court Justice,,2022-01-01,2035-12-31,Kings County,Kings County Supreme Court,2022,,,,,,
Eddie J Mcshan,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,Bronx County,Bronx County Sup Ct Civil Term,2019,,,,,,
Barry E Warhit,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2026-12-31,Westchester County,Westchester County Supreme Ct,2019,,,,,,
Peter H Moulton,Supreme Court Justice,"ASC JUS, AP DIV",2014-01-01,2027-12-31,New York County,Appellate Division - 1st Dept,2014,,,,,,
Norman St George,Supreme Court Justice,FIRST DEP CHF ADMIN JGE FOR COURTS,2019-01-01,2032-12-31,Nassau County,Nassau County Supreme Court,2019,,,,,,
Edwina G Richardson,Court of Claims Judge,DEP CHF ADMNV JUST INIT,2024-04-01,2033-03-31,New York County,Court of Claims,2017,,,,,,
Wilma Guzman,,,,,Bronx County,Bronx County Sup Ct Civil Term,2006,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Lyle E Frank,Supreme Court Justice,,2024-01-01,2037-12-31,New York County,New York County Supreme Court,2024,,,,,,
Kathleen B Hogan,Court of Claims Judge,SUP CT JUSTICE,2017-06-19,2022-01-22,Albany County,Court of Claims,2017,,,,,,
Llinet Rosado,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,New York County,Bronx County Supreme Court,2019,,,,,,
Gerald Greenan Iii,Supreme Court Justice,,2023-01-01,2033-12-31,Niagara County,Niagara County Supreme Court,2023,,,,,,
Dakota Ramseur,Supreme Court Justice,,2023-01-01,2036-12-31,New York County,New York County Supreme Court,2023,,,,,,
Kim Adair Wilson,Supreme Court Justice,,2021-01-01,2026-12-31,Bronx County,Bronx County Sup Ct Civil Term,2021,,,,,,
Pamela L Fisher,Supreme Court Justice,,2016-01-01,2029-12-31,Kings County,Kings County Supreme Court,2016,,,,,,
Rhonda Z Tomlinson,Court of Claims Judge,SUP CT JUSTICE,2021-06-08,2022-12-31,Kings County,Kings County Supreme Court,2021,,,,,,
Sharon Bourne-Clarke,Supreme Court Justice,,2024-01-01,2033-12-31,Kings County,Kings County Supreme Court,2024,,,,,,
Gerald Lebovits,Supreme Court Justice,,2025-01-01,2025-12-31,New York County,Supreme Ct-Civil,2025,,,,,,
Alison J Napolitano,Supreme Court Justice,,2024-01-01,2037-12-31,Suffolk County,Suffolk County Supreme Court,2024,,,,,,
Daniel C Lynch,Supreme Court Justice,,2024-01-01,2037-12-31,Albany County,Albany County Supreme Court,2024,,,,,,
Janice A Taylor,,"ASC JUS, AP DIV, TEMP",,,Queens County,Appellate Division - 2nd Dept,1998,,,"ASC JUS, AP DIV, TPCT",2025-01-01,2030-12-31,
Kathie E Davidson,,,2019-01-01,2024-12-31,Westchester County,Westchester County Supreme Ct,2019,,,DEAN OF JI CERT,2025-01-01,2030-12-31,
Marguerite A Grays,Supreme Court Justice,ADMNV JGE,2017-01-01,2028-12-31,Queens County,Queens County Supreme Court,2003,,,,,,AJ/QN/SUP/CV
David P Sullivan,Supreme Court Justice,,2020-01-01,2033-12-31,Nassau County,Nassau County Supreme Court,2020,,,,,,
Deborah A Kaplan,Supreme Court Justice,,2012-01-01,2025-12-31,New York County,New York County Supreme Court,2012,,,,,,
Damaris E Torrent,Court of Claims Judge,SUP CT JUSTICE,2021-06-08,2022-12-31,Westchester County,Westchester County Supreme Ct,2021,,,,,,
Gina M Lopez-Summa,Court of Claims Judge,,2017-01-01,2025-12-31,Suffolk County,Court of Claims,2006,,,,,,
Susan B Heckman,Supreme Court Justice,,2022-01-01,2035-12-31,Suffolk County,Suffolk County Supreme Court,2022,,,,,,
Veronica G Hummel,Court of Claims Judge,SUP CT JUSTICE,2020-07-23,2028-05-29,Bronx County,Bronx County Supreme Court,2020,,,,,,
Arthur F Engoron,,,,,New York County,New York County Supreme Court,2016,,,"SUP CT JUS, CERT",2020-01-01,2025-12-31,
Carolyn E Wade,,,2021-01-01,2023-12-31,Kings County,Kings County Supreme Court,2021,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
James A Mccarty Jr,,,,,Westchester County,Westchester County Supreme Ct,2018,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,9/SJ/COUNTY
Maureen Mchugh Heitner,Court of Claims Judge,SUP CT JUSTICE,2023-01-01,2031-12-31,Nassau County,Queens County Supreme Civil,2022,,,,,,
Donna M Siwek,Supreme Court Justice,,2015-01-01,2028-12-31,Erie County,Erie County Supreme Court,2001,,,,,,
Dweynie Paul,Supreme Court Justice,,2023-01-01,2036-12-31,Kings County,Kings County Supreme Court,2023,,,,,,
Margaret Chan,Supreme Court Justice,,2022-01-01,2026-12-31,New York County,New York County Supreme Court,2022,,,,,,
Sandra Munoz,Supreme Court Justice,,2025-01-01,2026-12-31,Queens County,Queens County Supreme Court,2025,,,,,,
Gerard J Neri,Supreme Court Justice,,2019-01-01,2028-12-31,Onondaga County,Onondaga County Supreme Court,2019,,,,,,5/SJ/TOWN&VILLAGE
Cenceria Edwards,Supreme Court Justice,,2023-01-01,2034-12-31,Kings County,Kings County Supreme Court,2023,,,,,,
Maria S Vazquezdoles,Supreme Court Justice,,2014-01-01,2027-12-31,Orange County,Orange County Supreme Court,2014,,,,,,
Thomas R Davis,Supreme Court Justice,,2022-01-01,2032-12-31,Dutchess County,Dutchess County Supreme Court,2022,,,,,,
Ericka M Edwards,Supreme Court Justice,,2017-01-01,2030-12-31,New York County,New York County Supreme Court,2017,,,,,,
Amy Quinn,Court of Claims Judge,,2024-06-06,2031-12-31,Essex County,Bronx County Supreme Court,2024,,,,,,
Melissa A Crane,Supreme Court Justice,,2021-01-01,2034-12-31,New York County,New York County Supreme Court,2021,,,,,,
Richard G Latin,,,2018-01-01,2024-12-31,New York County,New York County Supreme Court,2018,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Terence Murphy,Supreme Court Justice,,2025-01-01,2025-12-31,Nassau County,Nassau County Supreme Court,2025,,,,,,
Sharon Gianelli,Supreme Court Justice,,2015-01-01,2028-12-31,Nassau County,Nassau County Supreme Court,2015,,,,,,
Maria G Rosa,Supreme Court Justice,,2013-01-01,2026-12-31,Dutchess County,Dutchess County Supreme Court,2013,,,,,,
Carl J Landicino,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2012-01-01,2025-12-31,Kings County,Kings County Supreme Court,2012,,,,,,
Laura Ward,,,2024-06-06,2024-12-31,New York County,Queens County Supreme Court,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
M William Boller,Court of Claims Judge,SUP CT JUSTICE,2019-04-29,2025-12-31,Erie County,Erie County Supreme Court,2006,,,,,,8/SJ/TOWN&VILLAGE
James H Ferreira,Court of Claims Judge,SUP CT JUSTICE,2016-03-31,2025-03-30,Albany County,Court of Claims,2006,,,,,,
Ralph J Porzio,Supreme Court Justice,,2019-01-01,2028-12-31,Richmond County,Richmond Cnty Supreme Ct-Civil,2019,,,,,,
Ushir Pandit-Durant,Supreme Court Justice,,2019-01-01,2032-12-31,Queens County,Queens County Supreme Court,2019,,,,,,
Patris Frias-Colon,Supreme Court Justice,,2023-01-01,2036-12-31,Kings County,Kings County Supreme Court,2023,,,,,,
Molly R Fitzgerald,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2022-01-01,2031-12-31,Broome County,Broome County Supreme Court,2008,,,,,,
Donald A Greenwood,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2027-12-31,Onondaga County,Onondaga County Supreme Court,2004,,,,,,
James Matthews,Supreme Court Justice,,2025-01-01,2025-12-31,Suffolk County,Suffolk County Supreme Court,2025,,,,,,
Joseph E Lamendola,Supreme Court Justice,,2020-01-01,2025-12-31,Onondaga County,Onondaga County Supreme Court,2020,,,,,,
Christopher T Mcgrath,Supreme Court Justice,,2024-01-01,2028-12-31,Nassau County,Nassau County Supreme Court,2024,,,,,,
Lynn R Kotler,Supreme Court Justice,,2019-01-01,2031-12-31,New York County,New York County Supreme Court,2019,,,,,,
John R Higgitt,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,New York County,Appellate Division - 1st Dept,2018,,,,,,
Andrew A Crecca,Supreme Court Justice,ADMNV JGE,2025-01-01,2034-12-31,Suffolk County,Suffolk County Supreme Court,2011,,,,,,AJ/SF/SUP
Susan Quirk,Supreme Court Justice,,2023-01-01,2036-12-31,Kings County,Kings County Supreme Court,2023,,,,,,
Matthew P Parker-Raso,Supreme Court Justice,,2025-01-01,2038-12-31,Bronx County,Bronx County Sup Ct Civil Term,2025,,,,,,
Sharon Graff,Supreme Court Justice,,2023-01-01,2036-12-31,Ulster County,Ulster County Supreme Court,2023,,,,,,
Gary F Miret,Court of Claims Judge,SUP CT JUSTICE,2021-06-29,2027-08-26,Queens County,Queens County Supreme Court,2021,,,,,,
Eugene D Faughnan,Supreme Court Justice,ADMNV JGE,2014-01-01,2027-12-31,Broome County,Broome County Supreme Court,2014,,,,,,AJ/06/SUP
Gina C Capone,Supreme Court Justice,,2020-01-01,2033-12-31,Orange County,Putnam County Supreme Ct(M-B),2020,,,,,,
Kim Parker,Court of Claims Judge,SUP CT JUSTICE,2023-06-09,2031-12-31,Bronx County,Bronx County Supreme Court,2023,,,,,,
Fernando Tapia,,,,,Bronx County,Bronx County Sup Ct Civil Term,2013,,,"SUP CT JUS, CERT",2021-06-18,2026-12-31,
Betsy Barros,Supreme Court Justice,"ASC JUS, AP DIV",2012-01-01,2025-12-31,Kings County,Appellate Div 2nd Dept/Chamber,1998,,,,,,
Marian R Tinari,,,,,Suffolk County,Suffolk County Supreme Court,2019,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Dineen A Riviezzo,Court of Claims Judge,SUP CT JUSTICE,2014-01-01,2022-12-31,Kings County,Kings County Supreme Court,2006,,,,,,
Lillian Wan,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2022-01-01,2035-12-31,Kings County,Kings County Supreme Court,2022,,,,,,
Robert A Mcdonald,,,2016-01-01,2024-12-31,Nassau County,Nassau County Supreme Court,2016,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Erica L Prager,Supreme Court Justice,,2021-01-01,2033-12-31,Nassau County,Nassau County Supreme Court,2021,,,,,,
Wayne P Saitta,Supreme Court Justice,,2019-01-01,2025-12-31,Kings County,Kings County Supreme Court,2005,,,,,,
Paul Marrone,Supreme Court Justice,,2022-01-01,2035-12-31,Richmond County,Richmond Cnty Supreme Ct-Civil,2022,,,,,,
Jerry Garguilo,,,,,Suffolk County,Suffolk County Supreme Court,2008,,,SUP CT JUS CERT PJAT,2021-01-01,2026-12-31,
John C Egan Jr,Supreme Court Justice,"ASC JUS, AP DIV",2020-01-01,2025-12-31,Albany County,Appellate Div 3rd Dept/Chamber,2006,,,,,,
Jason Cook,Supreme Court Justice,,2023-01-01,2036-12-31,Onondaga County,Onondaga County Supreme Court,2023,,,,,,7/SJ/TOWN&VILLAGE
Paul Hennings,Supreme Court Justice,,2025-01-01,2030-12-31,Suffolk County,Suffolk County Supreme Court,2025,,,,,,
Doris M Gonzalez,Supreme Court Justice,,2017-01-01,2030-12-31,Westchester County,Bronx County Sup Ct Civil Term,2017,,,,,,
Raymond W Walter,Supreme Court Justice,,2022-01-01,2035-12-31,Erie County,Erie County Supreme Court,2022,,,,,,
James E Walsh,Supreme Court Justice,,2020-01-01,2033-12-31,Saratoga County,Saratoga County Sup Ct - Chmbr,2020,,,,,,
Ingrid Joseph,Supreme Court Justice,,2019-01-01,2026-12-31,Kings County,Kings County Supreme Court,2019,,,,,,
Stephen K Lindley,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2021-01-01,2033-12-31,Monroe County,Appellate Div 4th Dept/Chamber,2007,,,,,,
Zainab Chaudhry,Court of Claims Judge,,2022-06-02,2027-06-30,Albany County,Court of Claims,2022,,,,,,
Janet C Malone,Supreme Court Justice,,2017-01-01,2030-12-31,Westchester County,Westchester County Supreme Ct,2017,,,,,,
Sherri Brooksmorton,Supreme Court Justice,,2024-01-01,2037-12-31,Albany County,Westchester County Supreme Ct,2024,,,,,,
Arlene P Bluth,Supreme Court Justice,,2016-01-01,2029-12-31,New York County,New York County Supreme Court,2016,,,,,,
Edward H King,,,2024-06-06,2024-12-31,Kings County,Kings County Supreme Court,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Mary L Slisz,Supreme Court Justice,,2017-01-01,2028-12-31,Erie County,Erie County Supreme Court,2017,,,,,,8/SJ/MATRIMONIAL
Lourdes M Ventura,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,Queens County,Queens County Supreme Court,2020,,,,,,
Brian Haak,Court of Claims Judge,,2024-04-01,2033-03-31,Saratoga County,Court of Claims,2023,,,,,,
Walter Rivera,Court of Claims Judge,,2017-06-27,2024-07-11,Westchester County,Court of Claims,2017,,,,,,
Leonard Livote,,,2021-01-01,2023-12-31,Queens County,Queens County Supreme Court,2010,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Daniel P Conviser,Court of Claims Judge,SUP CT JUSTICE,2014-08-01,2023-07-31,New York County,New York County Supreme Ct/CRM,2007,,,,,,
Saliann Scarpulla,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2013-01-01,2026-12-31,New York County,Appellate Division - 1st Dept,2013,,,,,,
Mitchell J Danziger,Supreme Court Justice,,2016-01-01,2029-12-31,Bronx County,Bronx County Sup Ct Civil Term,2016,,,,,,
Walter B Debow,Court of Claims Judge,,2014-08-01,2023-07-31,Albany County,Court of Claims,2006,,,,,,
Stan L Pritzker,Supreme Court Justice,"ASC JUS, AP DIV",2014-01-01,2026-12-31,Washington County,Appellate Div 3rd Dept/Chamber,2014,,,,,,
Maureen T Liccione,,,,,Suffolk County,Suffolk County Supreme Court,2019,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Michael B Aloise,Supreme Court Justice,,2018-01-01,2025-12-31,Queens County,Queens County Supreme Court,2004,,,,,,
Anne Swern,Supreme Court Justice,,2023-01-01,2026-12-31,Kings County,Kings County Supreme Court,2023,,,,,,
Richard Mott,,,,,Columbia County,Columbia County Supr Ct(M-B),2013,,,"SUP CT JUS, CERT",2020-01-01,2025-12-31,
Andrea S Ogle,Supreme Court Justice,,2025-01-01,2027-12-31,Queens County,Supreme Ct-Civil,2025,,,,,,
Laura G Douglas,Supreme Court Justice,,2014-01-01,2027-12-31,Bronx County,Bronx County Sup Ct Civil Term,2000,,,,,,
Ruth Shillingford,Court of Claims Judge,,2023-08-01,2032-07-31,New York County,Court of Claims,2023,,,,,,
Angela G Iannacci,Supreme Court Justice,"ASC JUS, AP DIV",2020-01-01,2030-12-31,Nassau County,Appellate Div 2nd Dept/Chamber,2006,,,,,,
Sharen Hudson,Supreme Court Justice,,2025-01-01,2033-12-31,Kings County,Kings County Supreme Court,2025,,,,,,
Joseph Lorigo,Supreme Court Justice,,2023-01-01,2036-12-31,Erie County,Erie County Supreme Court,2023,,,,,,
Elena F Cariola,Supreme Court Justice,,2022-01-01,2035-12-31,Monroe County,Monroe County Supreme Court,2022,,,,,,
David Zuckerman,Supreme Court Justice,,2023-01-01,2036-12-31,Westchester County,Westchester County Supreme Ct,2023,,,,,,
Larry J Schwartz,,,2024-01-01,2024-12-31,Rockland County,Rockland County Supreme Court,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Stephan G Schick,,,,,Sullivan County,Sullivan County Supr Ct(M-B),2013,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Charles C Merrell,Supreme Court Justice,,2012-01-01,2025-12-31,Lewis County,Lewis County Supreme Ct(M-B),2012,,,,,,5/SJ/TOWN&VILLAGE
Thomas F Whelan,Supreme Court Justice,,2015-01-01,2025-12-31,Suffolk County,Suffolk County Supreme Court,2001,,,,,,SUF/SJ/SUPREME
Richard J Montelione,Supreme Court Justice,,2022-01-01,2025-12-31,Kings County,Kings County Supreme Court,2022,,,,,,
James P Mccormack,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2016-01-01,2029-12-31,Nassau County,Nassau County Supreme Court,2016,,,,,,
Stacey Romeo,Supreme Court Justice,,2025-01-01,2038-12-31,Monroe County,Supreme Ct-Civil,2025,,,,,,7/SJ/FAMILY
Orlando Marrazzo Jr,,,,,Richmond County,Richmond Cnty Supreme Ct-Civil,2020,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,
Gail A Donofrio,Supreme Court Justice,,2013-01-01,2025-12-31,Monroe County,Monroe County Supreme Court,2013,,,,,,
Leonard D Steinman,Supreme Court Justice,,2013-01-01,2026-12-31,Nassau County,Nassau County Supreme Court,2013,,,,,,
Timothy Lewis,Court of Claims Judge,SUP CT JUSTICE,2023-01-01,2030-12-31,Bronx County,Bronx County Supreme Court,2022,,,,,,
Amy C Martoche,Supreme Court Justice,,2021-01-01,2034-12-31,Erie County,Erie County Supreme Court,2021,,,,,,
Robert I Caloras,Supreme Court Justice,,2019-01-01,2029-12-31,Queens County,Queens County Supreme Court,2019,,,,,,
Mark G Masler,Supreme Court Justice,,2020-01-01,2030-12-31,Cortland County,Cortland County Supr Ct(M-B),2020,,,,,,
Sallie Manzanet,Supreme Court Justice,"ASC JUS, AP DIV",2016-01-01,2029-12-31,New York County,Appellate Division - 1st Dept,2002,,,,,,
Victoria M Argento,Supreme Court Justice,,2019-01-01,2032-12-31,Monroe County,Monroe County Supreme Court,2019,,,,,,
Phillip Hom,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,Queens County,New York County Supreme Court,2020,,,,,,
Maurice E Muir,Supreme Court Justice,,2020-01-01,2033-12-31,Queens County,Queens County Supreme Court,2020,,,,,,
Victor G Grossman,,,,,Putnam County,Putnam County Supreme Ct(M-B),2014,,,"SUP CT JUS, CERT",2022-01-01,2027-12-31,9/SJ/MATRIMONIAL
Gregory Carro,Court of Claims Judge,SUP CT JUSTICE,2014-01-01,2022-12-31,New York County,New York County Supreme Ct/CRM,2002,,,,,,
Catherine Leahy-Scott,Court of Claims Judge,,2019-06-20,2019-12-01,Albany County,Court of Claims,2019,,,,,,
John J Kelley,Supreme Court Justice,,2022-01-01,2032-12-31,New York County,New York County Supreme Ct/CRM,2022,,,,,,
Kathy J King,Supreme Court Justice,,2015-01-01,2027-12-31,New York County,New York County Supreme Court,2015,,,,,,
Deborah A Haendiges,Supreme Court Justice,,2020-01-01,2027-12-31,Erie County,Erie County Supreme Court,2006,,,,,,
Thomas Quinones,Supreme Court Justice,,2022-01-01,2030-12-31,Westchester County,Westchester County Supreme Ct,2022,,,,,,
Sharon A M Aarons,Supreme Court Justice,"ASC JUS, AP DIV",2024-01-01,2034-12-31,Bronx County,Appellate Div 3rd Dept/Chamber,2010,,,,,,
John A Howard,Supreme Court Justice,,2024-01-01,2034-12-31,Bronx County,Bronx County Supreme Court,2024,,,,,,
Mary M Farley,Supreme Court Justice,,2016-01-01,2029-12-31,St. Lawrence County,St. Lawrence County Supreme Ct,2016,,,,,,4/SJ/SUPREME
Judith A Sinclair,Supreme Court Justice,,2016-01-01,2029-12-31,Monroe County,Monroe County Supreme Court,2016,,,,,,
